"entries","date"
3072277,2010-04-17
2418238,2010-04-18
5301087,2010-04-19
5471349,2010-04-20
5485434,2010-04-21
5486645,2010-04-22
4953424,2010-04-23
3347711,2010-05-01
2474745,2010-05-02
5191615,2010-05-03
5456015,2010-05-04
5567405,2010-05-05
5477325,2010-05-06
4991935,2010-05-07
3046575,2010-05-08
2271126,2010-05-09
5276078,2010-05-10
5445789,2010-05-11
5392813,2010-05-12
5567086,2010-05-13
4922274,2010-05-14
3172098,2010-05-22
2384456,2010-05-23
5261299,2010-05-24
5498851,2010-05-25
5537184,2010-05-26
5372640,2010-05-27
4740914,2010-05-28
2885955,2010-05-29
2554979,2010-05-30
2562549,2010-05-31
5282261,2010-06-01
5500221,2010-06-02
5492180,2010-06-03
4905749,2010-06-04
3092699,2010-06-05
2423257,2010-06-06
5273269,2010-06-07
5455616,2010-06-08
5437579,2010-06-09
5311906,2010-06-10
4874602,2010-06-11
3154179,2010-06-12
2519078,2010-06-13
5207236,2010-06-14
5470163,2010-06-15
5422369,2010-06-16
5431204,2010-06-17
4819164,2010-06-18
3257372,2010-06-19
2413419,2010-06-20
5111911,2010-06-21
5297452,2010-06-22
5336676,2010-06-23
5279012,2010-06-24
4724081,2010-06-25
3107364,2010-06-26
2591558,2010-06-27
5110874,2010-06-28
5119636,2010-06-29
5230982,2010-06-30
5152059,2010-07-01
4318108,2010-07-02
2869535,2010-07-03
2547421,2010-07-04
2533768,2010-07-05
4859082,2010-07-06
5013558,2010-07-07
5083443,2010-07-08
4509125,2010-07-09
2815401,2010-07-10
2357104,2010-07-11
5004535,2010-07-12
5008034,2010-07-13
5098493,2010-07-14
5280675,2010-07-15
4542907,2010-07-16
3074718,2010-07-17
2457527,2010-07-18
4931803,2010-07-19
5173927,2010-07-20
5242196,2010-07-21
5291283,2010-07-22
4505313,2010-07-23
2908446,2010-07-24
2318506,2010-07-25
4990489,2010-07-26
5192390,2010-07-27
5228083,2010-07-28
5131282,2010-07-29
4542102,2010-07-30
3010632,2010-07-31
2293288,2010-08-01
4931818,2010-08-02
5106962,2010-08-03
5144844,2010-08-04
5113067,2010-08-05
4470669,2010-08-06
3035410,2010-08-07
2449201,2010-08-08
4857882,2010-08-09
5011595,2010-08-10
5059412,2010-08-11
4954742,2010-08-12
4412275,2010-08-13
2981116,2010-08-14
2316971,2010-08-15
4697484,2010-08-16
4955754,2010-08-17
4941226,2010-08-18
4977034,2010-08-19
4339480,2010-08-20
2929901,2010-08-21
2085973,2010-08-22
4491383,2010-08-23
4742380,2010-08-24
4712870,2010-08-25
5019000,2010-08-26
4379876,2010-08-27
2976900,2010-08-28
2388523,2010-08-29
4804776,2010-08-30
4977399,2010-08-31
5044280,2010-09-01
5055267,2010-09-02
4237903,2010-09-03
3012535,2010-09-04
2586587,2010-09-05
2658781,2010-09-06
5094245,2010-09-07
5353396,2010-09-08
4751123,2010-09-09
4416123,2010-09-10
3111464,2010-09-11
2297006,2010-09-12
5463500,2010-09-13
5591569,2010-09-14
5658353,2010-09-15
5643590,2010-09-16
4900239,2010-09-17
3005729,2010-09-18
2471881,2010-09-19
5512133,2010-09-20
5715002,2010-09-21
5700134,2010-09-22
5635655,2010-09-23
5028570,2010-09-24
3133398,2010-09-25
2332990,2010-09-26
5262177,2010-09-27
5461117,2010-09-28
5609838,2010-09-29
5248619,2010-09-30
4756286,2010-10-01
3200633,2010-10-02
2437633,2010-10-03
5394095,2010-10-04
5541518,2010-10-05
5637675,2010-10-06
5677334,2010-10-07
5069241,2010-10-08
3255847,2010-10-09
2531076,2010-10-10
4034301,2010-10-11
5522901,2010-10-12
5652844,2010-10-13
5655441,2010-10-14
5085499,2010-10-15
3159835,2010-10-16
2463350,2010-10-17
5500437,2010-10-18
5623370,2010-10-19
5673476,2010-10-20
5648097,2010-10-21
5135140,2010-10-22
3190550,2010-10-23
2402742,2010-10-24
5421932,2010-10-25
5571170,2010-10-26
5589238,2010-10-27
5772425,2010-10-28
5148132,2010-10-29
3194865,2010-10-30
2632608,2010-10-31
5432312,2010-11-01
5117491,2010-11-02
5599009,2010-11-03
5530574,2010-11-04
5120681,2010-11-05
3237049,2010-11-06
2669281,2010-11-07
5424527,2010-11-08
5617508,2010-11-09
5697254,2010-11-10
4928472,2010-11-11
5320175,2010-11-12
3291980,2010-11-13
2401610,2010-11-14
5401597,2010-11-15
5503282,2010-11-16
5628704,2010-11-17
5655368,2010-11-18
5294034,2010-11-19
3235005,2010-11-20
2363294,2010-11-21
5481330,2010-11-22
5628686,2010-11-23
5489075,2010-11-24
2077957,2010-11-25
3220059,2010-11-26
2857356,2010-11-27
2213145,2010-11-28
5303244,2010-11-29
5523525,2010-11-30
5293914,2010-12-01
5702704,2010-12-02
5343248,2010-12-03
3438054,2010-12-04
2486164,2010-12-05
5462437,2010-12-06
5605153,2010-12-07
5650641,2010-12-08
5666838,2010-12-09
5292715,2010-12-10
3539232,2010-12-11
2200426,2010-12-12
5454465,2010-12-13
5451065,2010-12-14
5560153,2010-12-15
5626487,2010-12-16
5277085,2010-12-17
3470164,2010-12-18
2584678,2010-12-19
5408810,2010-12-20
5472490,2010-12-21
5411384,2010-12-22
5037391,2010-12-23
2795662,2010-12-24
1567433,2010-12-25
2015962,2010-12-26
2017982,2010-12-27
4140418,2010-12-28
4825946,2010-12-29
5050575,2010-12-30
3471598,2010-12-31
2387665,2011-01-01
2310758,2011-01-02
4971442,2011-01-03
5217939,2011-01-04
5270680,2011-01-05
5265346,2011-01-06
4720748,2011-01-07
2846390,2011-01-08
2190374,2011-01-09
5140353,2011-01-10
