Date,entries
2010-04-17,3072277
2010-04-18,2418238
2010-04-19,5301087
2010-04-20,5471349
2010-04-21,5485434
2010-04-22,5486645
2010-04-23,4953424
2010-05-01,3347711
2010-05-02,2474745
2010-05-03,5191615
2010-05-04,5456015
2010-05-05,5567405
2010-05-06,5477325
2010-05-07,4991935
2010-05-08,3046575
2010-05-09,2271126
2010-05-10,5276078
2010-05-11,5445789
2010-05-12,5392813
2010-05-13,5567086
2010-05-14,4922274
2010-05-22,3172098
2010-05-23,2384456
2010-05-24,5261299
2010-05-25,5498851
2010-05-26,5537184
2010-05-27,5372640
2010-05-28,4740914
2010-05-29,2885955
2010-05-30,2554979
2010-05-31,2562549
2010-06-01,5282261
2010-06-02,5500221
2010-06-03,5492180
2010-06-04,4905749
2010-06-05,3092699
2010-06-06,2423257
2010-06-07,5273269
2010-06-08,5455616
2010-06-09,5437579
2010-06-10,5311906
2010-06-11,4874602
2010-06-12,3154179
2010-06-13,2519078
2010-06-14,5207236
2010-06-15,5470163
2010-06-16,5422369
2010-06-17,5431204
2010-06-18,4819164
2010-06-19,3257372
2010-06-20,2413419
2010-06-21,5111911
2010-06-22,5297452
2010-06-23,5336676
2010-06-24,5279012
2010-06-25,4724081
2010-06-26,3107364
2010-06-27,2591558
2010-06-28,5110874
2010-06-29,5119636
2010-06-30,5230982
2010-07-01,5152059
2010-07-02,4318108
2010-07-03,2869535
2010-07-04,2547421
2010-07-05,2533768
2010-07-06,4859082
2010-07-07,5013558
2010-07-08,5083443
2010-07-09,4509125
2010-07-10,2815401
2010-07-11,2357104
2010-07-12,5004535
2010-07-13,5008034
2010-07-14,5098493
2010-07-15,5280675
2010-07-16,4542907
2010-07-17,3074718
2010-07-18,2457527
2010-07-19,4931803
2010-07-20,5173927
2010-07-21,5242196
2010-07-22,5291283
2010-07-23,4505313
2010-07-24,2908446
2010-07-25,2318506
2010-07-26,4990489
2010-07-27,5192390
2010-07-28,5228083
2010-07-29,5131282
2010-07-30,4542102
2010-07-31,3010632
2010-08-01,2293288
2010-08-02,4931818
2010-08-03,5106962
2010-08-04,5144844
2010-08-05,5113067
2010-08-06,4470669
2010-08-07,3035410
2010-08-08,2449201
2010-08-09,4857882
